項目名,容量(GB),選択肢or入力項目,プラングループ,容量,金額,回数表示,プランID（Happiness）,プラン名（Happiness）,プラン変更,キャリア,翌月変更期限
追加分,3,GTN MOBILE Lite 3GB,10,500MB,500円（税込550円）,回目/最大6回,701301254,ＧＴＮ　ＭＯＢＩＬＥ　Ｌｉｔｅ　３ＧＢ,可,Ncom,月末の最終日以外なら翌月受付対応可能
,10,GTN MOBILE Lite 10GB,10,500MB,500円（税込550円）,回目/最大6回,701301255,ＧＴＮ　ＭＯＢＩＬＥ　Ｌｉｔｅ　１０ＧＢ,可,Ncom,月末の最終日以外なら翌月受付対応可能
,3,GTN MOBILE Advance 5G 3GB,11,500MB,500円（税込550円）,回目/最大6回,701301256,ＧＴＮ　ＭＯＢＩＬＥ　Ａｄｖａｎｃｅ　３ＧＢ,可,YM,15日営業時間(18:30)まで
,10,GTN MOBILE Advance 5G 10GB,11,500MB,500円（税込550円）,回目/最大6回,701301257,ＧＴＮ　ＭＯＢＩＬＥ　Ａｄｖａｎｃｅ　１０ＧＢ,可,YM,15日営業時間(18:30)まで
,17,GTN MOBILE Advance 5G 17GB,11,500MB,500円（税込550円）,回目/最大6回,701301258,ＧＴＮ　ＭＯＢＩＬＥ　Ａｄｖａｎｃｅ　１７ＧＢ,可,YM,15日営業時間(18:30)まで
,3,GTN MOBILE Data 3GB,12,1GB,700円（税込770円）,回目/最大6回,701301259,ＧＴＮ　ＭＯＢＩＬＥ　Ｄａｔａ　３ＧＢ（Ｓ）,可,SB,月末の最終日以外なら翌月受付対応可能
,6,GTN MOBILE Data 6GB,12,1GB,700円（税込770円）,回目/最大6回,701301260,ＧＴＮ　ＭＯＢＩＬＥ　Ｄａｔａ　６ＧＢ（Ｓ）,可,SB,月末の最終日以外なら翌月受付対応可能
,10,GTN MOBILE Data 10GB,12,1GB,700円（税込770円）,回目/最大6回,701301261,ＧＴＮ　ＭＯＢＩＬＥ　Ｄａｔａ　１０ＧＢ（Ｓ）,可,SB,月末の最終日以外なら翌月受付対応可能
,3,University Premium Next 3GB,13,1GB,"1,000円（税込1,000円）",回目/最大2回,701301262,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　３ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,5,University Premium Next 5GB,13,1GB,"1,000円（税込1,000円）",回目/最大2回,701301263,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　５ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,7,University Premium Next 7GB,13,1GB,"1,000円（税込1,000円）",回目/最大2回,701301264,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　７ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,10,University Premium Next 10GB,13,1GB,"1,000円（税込1,000円）",回目/最大2回,701301265,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　１０ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,14,University Premium Next 14GB,13,1GB,"1,000円（税込1,000円）",回目/最大2回,701301266,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　１４ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,21,University Premium Next 21GB,13,1GB,"1,000円（税込1,000円）",回目/最大2回,701301267,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　２１ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
ご希望のプラン,21,PREMIUM NEXT (21GB),1,1GB,"1,000円（税込1,000円）",回目/最大2回,701301250,ＰＲＥＭＩＵＭ　ＮＥＸＴ　２１ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,14,PREMIUM NEXT (14GB),1,1GB,"1,000円（税込1,000円）",回目/最大2回,701301249,ＰＲＥＭＩＵＭ　ＮＥＸＴ　１４ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,10,PREMIUM NEXT (10GB),1,1GB,"1,000円（税込1,000円）",回目/最大2回,701301248,ＰＲＥＭＩＵＭ　ＮＥＸＴ　１０ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,7,PREMIUM NEXT (7GB),1,1GB,"1,000円（税込1,000円）",回目/最大2回,701301247,ＰＲＥＭＩＵＭ　ＮＥＸＴ　７ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,5,PREMIUM NEXT (5GB),1,1GB,"1,000円（税込1,000円）",回目/最大2回,701301246,ＰＲＥＭＩＵＭ　ＮＥＸＴ　５ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,3,PREMIUM NEXT (3GB),1,1GB,"1,000円（税込1,000円）",回目/最大2回,701301245,ＰＲＥＭＩＵＭ　ＮＥＸＴ　３ＧＢ（Ｙ）,可,YM,15日営業時間(18:30)まで
,7,EXPRESS (7GB),2,500MB,600円（税込660円）,回目/最大6回,701301220,ＥＸＰＲＥＳＳ　７ＧＢ（ＥＶ）,可,Ncom,月末の最終日以外なら翌月受付対応可能
,5,EXPRESS (5GB),2,500MB,600円（税込660円）,回目/最大6回,701301219,ＥＸＰＲＥＳＳ　５ＧＢ（ＥＶ）,可,Ncom,月末の最終日以外なら翌月受付対応可能
,3,EXPRESS (3GB),2,500MB,600円（税込660円）,回目/最大6回,701301218,ＥＸＰＲＥＳＳ　３ＧＢ（ＥＶ）,可,Ncom,月末の最終日以外なら翌月受付対応可能
,7,EXPRESS (7GB),8,500MB,600円（税込660円）,回目/最大6回,701201120,ＥＸＰＲＥＳＳ　７ＧＢ（ＵＶ),可,,月末の最終日以外なら翌月受付対応可能
,5,EXPRESS (5GB),8,500MB,600円（税込660円）,回目/最大6回,701201119,ＥＸＰＲＥＳＳ　５ＧＢ（ＵＶ),可,,月末の最終日以外なら翌月受付対応可能
,3,EXPRESS (3GB),8,500MB,600円（税込660円）,回目/最大6回,701201118,ＥＸＰＲＥＳＳ　３ＧＢ（ＵＶ),可,,月末の最終日以外なら翌月受付対応可能
,10,PREMIUM DATA (10GB),3,1GB,"1,000円（税込1,000円）",回目/最大2回,701301235,ＰＲＥＭＩＵＭ　Ｄａｔａ　Ｐｌａｎ　１０ＧＢ（Ｓ）,可,SB,月末の最終日以外なら翌月受付対応可能
,7,PREMIUM DATA (7GB),3,1GB,"1,000円（税込1,000円）",回目/最大2回,701301234,ＰＲＥＭＩＵＭ　Ｄａｔａ　Ｐｌａｎ　７ＧＢ（Ｓ）,可,SB,月末の最終日以外なら翌月受付対応可能
,5,PREMIUM DATA (5GB),3,1GB,"1,000円（税込1,000円）",回目/最大2回,701301233,ＰＲＥＭＩＵＭ　Ｄａｔａ　Ｐｌａｎ　５ＧＢ（Ｓ）,可,SB,月末の最終日以外なら翌月受付対応可能
,3,PREMIUM DATA (3GB),3,1GB,"1,000円（税込1,000円）",回目/最大2回,701301232,ＰＲＥＭＩＵＭ　Ｄａｔａ　Ｐｌａｎ　３ＧＢ（Ｓ）,可,SB,月末の最終日以外なら翌月受付対応可能
,6,PREPAID (6GB/30days),-,不可,不可,不可,701301244,ＧＴＮ　ＰＲＥＰＡＩＤ　ＳＩＭ　６ＧＢ　30days,不可,YM,-
