項目名,容量(GB),選択肢or入力項目,基本料金（税込）,プラングループ,プランID（Happiness）,プラン名（Happiness）,プラン変更,翌月変更期限,
追加分,3,GTN MOBILE Lite 3GB,"1,628円",10,701301254,ＧＴＮ　ＭＯＢＩＬＥ　Ｌｉｔｅ　３ＧＢ,可,月末の最終日以外なら翌月受付対応可能,
,10,GTN MOBILE Lite 10GB,"2,728円",10,701301255,ＧＴＮ　ＭＯＢＩＬＥ　Ｌｉｔｅ　１０ＧＢ,可,,
,3,GTN MOBILE Advance 5G 3GB,"2,178円",11,701301256,ＧＴＮ　ＭＯＢＩＬＥ　Ａｄｖａｎｃｅ　３ＧＢ,可,15日営業時間(18:30)まで,
,10,GTN MOBILE Advance 5G 10GB,"3,278円",11,701301257,ＧＴＮ　ＭＯＢＩＬＥ　Ａｄｖａｎｃｅ　１０ＧＢ,可,,
,17,GTN MOBILE Advance 5G 17GB,"4,378円",11,701301258,ＧＴＮ　ＭＯＢＩＬＥ　Ａｄｖａｎｃｅ　１７ＧＢ,可,,
,3,GTN MOBILE Data 3GB,968円,12,701301259,ＧＴＮ　ＭＯＢＩＬＥ　Ｄａｔａ　３ＧＢ（Ｓ）,可,月末の最終日以外なら翌月受付対応可能,
,6,GTN MOBILE Data 6GB,"1,408円",12,701301260,ＧＴＮ　ＭＯＢＩＬＥ　Ｄａｔａ　６ＧＢ（Ｓ）,可,,
,10,GTN MOBILE Data 10GB,"1,958円",12,701301261,ＧＴＮ　ＭＯＢＩＬＥ　Ｄａｔａ　１０ＧＢ（Ｓ）,可,,
,3,University Premium Next 3GB,"2,006円",13,701301262,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　３ＧＢ（Ｙ）,可,15日営業時間(18:30)まで,
,5,University Premium Next 5GB,"2,270円",13,701301263,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　５ＧＢ（Ｙ）,可,,
,7,University Premium Next 7GB,"2,622円",13,701301264,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　７ＧＢ（Ｙ）,可,,
,10,University Premium Next 10GB,"3,062円",13,701301265,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　１０ＧＢ（Ｙ）,可,,
,14,University Premium Next 14GB,"3,678円",13,701301266,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　１４ＧＢ（Ｙ）,可,,
,21,University Premium Next 21GB,"4,822円",13,701301267,Ｕｎｉ　ＰＲＥＭＩＵＭ　ＮＥＸＴ　２１ＧＢ（Ｙ）,可,,
ご希望のプラン,21,PREMIUM NEXT (21GB),"6,028円",1,701301250,ＰＲＥＭＩＵＭ　ＮＥＸＴ　２１ＧＢ（Ｙ）,可,15日営業時間(18:30)まで,変更後に送る
,14,PREMIUM NEXT (14GB),"4,598円",1,701301249,ＰＲＥＭＩＵＭ　ＮＥＸＴ　１４ＧＢ（Ｙ）,可,,
,10,PREMIUM NEXT (10GB),"3,828円",1,701301248,ＰＲＥＭＩＵＭ　ＮＥＸＴ　１０ＧＢ（Ｙ）,可,,
,7,PREMIUM NEXT (7GB),"3,278円",1,701301247,ＰＲＥＭＩＵＭ　ＮＥＸＴ　７ＧＢ（Ｙ）,可,,
,5,PREMIUM NEXT (5GB),"2,838円",1,701301246,ＰＲＥＭＩＵＭ　ＮＥＸＴ　５ＧＢ（Ｙ）,可,,
,3,PREMIUM NEXT (3GB),"2,508円",1,701301245,ＰＲＥＭＩＵＭ　ＮＥＸＴ　３ＧＢ（Ｙ）,可,,
,7,EXPRESS (7GB),"3,443円",2,701301220,ＥＸＰＲＥＳＳ　７ＧＢ（ＥＶ）,可,月末の最終日以外なら翌月受付対応可能,
,5,EXPRESS (5GB),"2,893円",2,701301219,ＥＸＰＲＥＳＳ　５ＧＢ（ＥＶ）,可,,
,3,EXPRESS (3GB),"2,123円",2,701301218,ＥＸＰＲＥＳＳ　３ＧＢ（ＥＶ）,可,,
,7,EXPRESS (7GB),"3,443円",8,701201120,ＥＸＰＲＥＳＳ　７ＧＢ（ＵＶ),可,,
,5,EXPRESS (5GB),"2,893円",8,701201119,ＥＸＰＲＥＳＳ　５ＧＢ（ＵＶ),可,,
,3,EXPRESS (3GB),"2,123円",8,701201118,ＥＸＰＲＥＳＳ　３ＧＢ（ＵＶ),可,,
,10,PREMIUM DATA (10GB),"2,728円",3,701301235,ＰＲＥＭＩＵＭ　Ｄａｔａ　Ｐｌａｎ　１０ＧＢ（Ｓ）,可,,
,7,PREMIUM DATA (7GB),"2,178円",3,701301234,ＰＲＥＭＩＵＭ　Ｄａｔａ　Ｐｌａｎ　７ＧＢ（Ｓ）,可,,
,5,PREMIUM DATA (5GB),"1,628円",3,701301233,ＰＲＥＭＩＵＭ　Ｄａｔａ　Ｐｌａｎ　５ＧＢ（Ｓ）,可,,
,3,PREMIUM DATA (3GB),"1,078円",3,701301232,ＰＲＥＭＩＵＭ　Ｄａｔａ　Ｐｌａｎ　３ＧＢ（Ｓ）,可,,
,6,PREPAID (6GB/30days),,-,701301244,ＧＴＮ　ＰＲＥＰＡＩＤ　ＳＩＭ　６ＧＢ　30days,不可,-,
,6,PREPAID (6GB/15days),,-,701301243,ＧＴＮ　ＰＲＥＰＡＩＤ　ＳＩＭ　６ＧＢ　15days,不可,-,
,2,PREPAID (2GB/30days),,-,701301242,ＧＴＮ　ＰＲＥＰＡＩＤ　ＳＩＭ　２ＧＢ　30days,不可,-,
,2,PREPAID (2GB/15days),,-,701301241,ＧＴＮ　ＰＲＥＰＡＩＤ　ＳＩＭ　２ＧＢ　15days,不可,-,
,10,PREPAID DATA (10GB),,-,701301240,ＧＴＮ　ＰＲＥＰＡＩＤ　Ｄａｔａ　１０ＧＢ（Ｓ）,不可,-,
,7,PREPAID DATA (7GB),,-,701301239,ＧＴＮ　ＰＲＥＰＡＩＤ　Ｄａｔａ　７ＧＢ（Ｓ）,不可,-,
,5,PREPAID DATA (5GB),,-,701301238,ＧＴＮ　ＰＲＥＰＡＩＤ　Ｄａｔａ　５ＧＢ（Ｓ）,不可,-,
,3,PREPAID DATA (3GB),,-,701301237,ＧＴＮ　ＰＲＥＰＡＩＤ　Ｄａｔａ　３ＧＢ（Ｓ）,不可,-,
,150,GTN Wifi M (5GB/day),,-,701301513,ＧＴＮ　Ｗｉｆｉ（Ｍ）,不可,-,
,3,PREMIUM CLASSIC (3GB),,-,701301252,ＰＲＥＭＩＵＭ　Ｃ　２ＧＢ（Ｙ）,不可,-,
,21,Premium Plan (21GB),"6,578円",4,701201137,ＰＲＥＭＩＵＭ　７ＧＢ→２１ＧＢ（ＹＣ）,可,月末の最終日以外なら翌月受付対応可能,
,14,Premium Plan (14GB),"6,578円",5,701201131,ＰＲＥＭＩＵＭ　７ＧＢ→１４ＧＢ（ＹＣ）,可,,
,9,Premium Plan (9GB),"4,378円",4,701201136,ＰＲＥＭＩＵＭ　３ＧＢ→９ＧＢ（ＹＣ）,可,,
,6,Premium Plan (6GB),"4,378円",5,701201130,ＰＲＥＭＩＵＭ　３ＧＢ→６ＧＢ（ＹＣ）,可,,
,3,Premium Plan (3GB),"3,278円",4,701201135,ＰＲＥＭＩＵＭ　１ＧＢ→３ＧＢ（ＹＣ）,可,,
,2,Premium Plan (2GB),"3,278円",5,701201129,ＰＲＥＭＩＵＭ　１ＧＢ→２ＧＢ（ＹＣ）,可,,
,14,Happy 3 month (14GB),,-,701201134,Ｈａｐｐｙ３ｍｏｎｔｈ　１４ＧＢ,不可,-,
,6,Happy 3 month (6GB),,-,701201133,Ｈａｐｐｙ３ｍｏｎｔｈ　６ＧＢ,不可,-,
,2,Happy 3 month (2GB),,-,701201132,Ｈａｐｐｙ３ｍｏｎｔｈ　２ＧＢ,不可,-,
,7,EXPRESS NEO (7GB),"2,728円",6,701301231,ＥＸＰＲＥＳＳ　ＮＥＯ　７ＧＢ（Ｓ）,可,月末の最終日以外なら翌月受付対応可能,
,5,EXPRESS NEO (5GB),"2,178円",6,701301230,ＥＸＰＲＥＳＳ　ＮＥＯ　５ＧＢ（Ｓ）,可,,
,3,EXPRESS NEO (3GB),"1,408円",6,701301229,ＥＸＰＲＥＳＳ　ＮＥＯ　３ＧＢ（Ｓ）,可,,
,7,EXPRESS DATA (7GB),"2,728円",7,701301216,ＥＸＰＲＥＳＳ　７ＧＢ（Ｅ）,可,,
,5,EXPRESS DATA (5GB),"2,178円",7,701301215,ＥＸＰＲＥＳＳ　５ＧＢ（Ｅ）,可,,
,3,EXPRESS DATA (3GB),"1,408円",7,701301214,ＥＸＰＲＥＳＳ　３ＧＢ（Ｅ）,可,,
,7,EXPRESS DATA (7GB),"2,728円",9,701301224,ＥＸＰＲＥＳＳ　７ＧＢ（ＵＤ）,可,,
,5,EXPRESS DATA (5GB),"2,178円",9,701301223,ＥＸＰＲＥＳＳ　５ＧＢ（ＵＤ）,可,,
,3,EXPRESS DATA (3GB),"1,408円",9,701301222,ＥＸＰＲＥＳＳ　３ＧＢ（ＵＤ）,可,,
,なし,INFINITY,,-,701201114,ＩＮＦＩＮＩＴＹ　ＬＴＥ（Ｕ）,不可,-,
,150,GTN Wifi T (150GB),,-,701301512,ＧＴＮ　Ｗｉｆｉ　Ｔ（Ａ）,不可,-,
,100,GTN Wifi (100GB),,-,701301509,ＧＴＮ　Ｗｉｆｉ（Ａ）,不可,-,
,90,ULTRA Bob's Wifi (3GB/day),,-,701301506,ＵＬＴＲＡ　Ｂｏｂ’ｓ　Ｗｉｆｉ（Ｋ）,不可,-,
,30,SUPER Bob's Wifi (30GB),,-,701301505,Ｓｕｐｅｒ　Ｂｏｂ’ｓ　Ｗｉｆｉ（ＹＳ）,不可,-,
,50,HYPER Bob's Wifi (50GB),,-,701301503,Ｈｙｐｅｒ　Ｂｏｂ’ｓ　Ｗｉｆｉ（ＵＨ）,不可,-,
,25,Bob's Wifi (25GB),,-,701301502,Ｂｏｂ’ｓ　Ｗｉｆｉ（ＢＴ）,不可,-,
,6,PREMIUM CLASSIC (6GB),,-,701301253,ＰＲＥＭＩＵＭ　Ｃ　６ＧＢ（Ｙ）,不可,-,
,2,PREMIUM CLASSIC (2GB),,-,701301252,ＰＲＥＭＩＵＭ　Ｃ　２ＧＢ（Ｙ）,不可,-,
,90,ULTRA Bob's Wifi C (3GB/day),,-,701301510,ＵＬＴＲＡ　Ｂｏｂ’ｓ　Ｗｉｆｉ　ＣＰ（Ｋ）,不可,-,
,30,SUPER Bob's Wifi C (30GB),,-,701301508,Ｓｕｐｅｒ　Ｂｏｂ’ｓ　Ｗｉｆｉ　ＣＰ（ＹＳ）,不可,-,
適用希望日,,翌月の1日,,,,,,,
,,翌々月の1日,,,,,,,
,,翌々々月の1日,,,,,,,
